3:30:17 AM: Source:Forms.login.Page_Load, Message:Request sent to SSO 
4:07:41 AM: Source:Forms.login.Page_Load, Message:SSO Response: PHNhbWxwOlJlc3BvbnNlIFZlcnNpb249IjIuMCIgSUQ9Ik9uRk1tT2d3XzlOODl0TUlNajlILW81RHl6MyIgSXNzdWVJbnN0YW50PSIyMDE3LTA3LTAzVDExOjA3OjQxLjYzM1oiIHhtbG5zOnNhbWxwPSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6cHJvdG9jb2wiPjxzYW1sOklzc3VlciB4bWxuczpzYW1sPSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6YXNzZXJ0aW9uIj5QYXltZW50VG9vbDpTUDwvc2FtbDpJc3N1ZXI+PHNhbWxwOlN0YXR1cz48c2FtbHA6U3RhdHVzQ29kZSBWYWx1ZT0idXJuOm9hc2lzOm5hbWVzOnRjOlNBTUw6Mi4wOnN0YXR1czpTdWNjZXNzIi8+PC9zYW1scDpTdGF0dXM+PHNhbWw6QXNzZXJ0aW9uIElEPSJXeXRJd0JndFdVTWUzUm1taTEyT0F5YmNIUW8iIElzc3VlSW5zdGFudD0iMjAxNy0wNy0wM1QxMTowNzo0MS42NDlaIiBWZXJzaW9uPSIyLjAiIHhtbG5zOnNhbWw9InVybjpvYXNpczpuYW1lczp0YzpTQU1MOjIuMDphc3NlcnRpb24iPjxzYW1sOklzc3Vlcj5QYXltZW50VG9vbDpTUDwvc2FtbDpJc3N1ZXI+PGRzOlNpZ25hdHVyZSB4bWxuczpkcz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC8wOS94bWxkc2lnIyI+CjxkczpTaWduZWRJbmZvPgo8ZHM6Q2Fub25pY2FsaXphdGlvbk1ldGhvZCBBbGdvcml0aG09Imh0dHA6Ly93d3cudzMub3JnLzIwMDEvMTAveG1sLWV4Yy1jMTRuIyIvPgo8ZHM6U2lnbmF0dXJlTWV0aG9kIEFsZ29yaXRobT0iaHR0cDovL3d3dy53My5vcmcvMjAwMS8wNC94bWxkc2lnLW1vcmUjcnNhLXNoYTI1NiIvPgo8ZHM6UmVmZXJlbmNlIFVSST0iI1d5dEl3Qmd0V1VNZTNSbW1pMTJPQXliY0hRbyI+CjxkczpUcmFuc2Zvcm1zPgo8ZHM6VHJhbnNmb3JtIEFsZ29yaXRobT0iaHR0cDovL3d3dy53My5vcmcvMjAwMC8wOS94bWxkc2lnI2VudmVsb3BlZC1zaWduYXR1cmUiLz4KPGRzOlRyYW5zZm9ybSBBbGdvcml0aG09Imh0dHA6Ly93d3cudzMub3JnLzIwMDEvMTAveG1sLWV4Yy1jMTRuIyIvPgo8L2RzOlRyYW5zZm9ybXM+CjxkczpEaWdlc3RNZXRob2QgQWxnb3JpdGhtPSJodHRwOi8vd3d3LnczLm9yZy8yMDAxLzA0L3htbGVuYyNzaGEyNTYiLz4KPGRzOkRpZ2VzdFZhbHVlPlorc0xUelljL01SZXNPRVUyWDdpa0VtblY1RGtsNXZ6Wmx3dXdybDZETzg9PC9kczpEaWdlc3RWYWx1ZT4KPC9kczpSZWZlcmVuY2U+CjwvZHM6U2lnbmVkSW5mbz4KPGRzOlNpZ25hdHVyZVZhbHVlPgppdmRqU043MHlFQ1hSLzVKZG96QjhzbGpiN05XYmJ5ZTRhaVQyQ0FSNERGcXUwTGlNSkJCajhyVXJNUkZFbFQwMC9tbDV6Wm5uWHZDCnVlZlgxN3pmczdGQi9Ld2tqckNNekliR0hkL3c1WTFyOVpONHlnQVlwZHFyVzlSRFBaMXhzSTVUL3pQNUFSejMwSjJxWFg2WEZmRFgKa1ZFUThtWkRqWTJmRUVRSkNyQnBzZ1plZ1EzeUVMa3pJTUN2TDhad29QZlVqODA3T0E2VDhLWVVMcFBVamh3QXhIdVpVRVI1dUFuagpTc0JDcjhNajVmWTRIMHg4Z1lYU2IwV2xmd2NiU1VFSG5sMS9FUWZkRlJueFU2Njh3V3dzTkhiSzZJcWZER3lrYnV5bTVjSlVRb29HCnFEd09Xa3R4L3AzdGxhUmpibWZCRjgya1lTcFdiTEtYNWtWQWlBPT0KPC9kczpTaWduYXR1cmVWYWx1ZT4KPC9kczpTaWduYXR1cmU+PHNhbWw6U3ViamVjdD48c2FtbDpOYW1lSUQgRm9ybWF0PSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoxLjE6bmFtZWlkLWZvcm1hdDp1bnNwZWNpZmllZCI+Z3MzNWd1cjwvc2FtbDpOYW1lSUQ+PHNhbWw6U3ViamVjdENvbmZpcm1hdGlvbiBNZXRob2Q9InVybjpvYXNpczpuYW1lczp0YzpTQU1MOjIuMDpjbTpiZWFyZXIiPjxzYW1sOlN1YmplY3RDb25maXJtYXRpb25EYXRhIFJlY2lwaWVudD0iaHR0cHM6Ly9uMDFhcHczMTcxLnRlbnQudHJ0LmNzYWEucHJpL3BheW1lbnR0b29sbXNjci9mb3Jtcy9sb2dpbi5hc3B4IiBOb3RPbk9yQWZ0ZXI9IjIwMTctMDctMDNUMTE6MTI6NDEuNjQ5WiIvPjwvc2FtbDpTdWJqZWN0Q29uZmlybWF0aW9uPjwvc2FtbDpTdWJqZWN0PjxzYW1sOkNvbmRpdGlvbnMgTm90QmVmb3JlPSIyMDE3LTA3LTAzVDExOjAyOjQxLjY0OVoiIE5vdE9uT3JBZnRlcj0iMjAxNy0wNy0wM1QxMToxMjo0MS42NDlaIj48c2FtbDpBdWRpZW5jZVJlc3RyaWN0aW9uPjxzYW1sOkF1ZGllbmNlPlBheW1lbnRUb29sOlNQPC9zYW1sOkF1ZGllbmNlPjwvc2FtbDpBdWRpZW5jZVJlc3RyaWN0aW9uPjwvc2FtbDpDb25kaXRpb25zPjxzYW1sOkF1dGhuU3RhdGVtZW50IFNlc3Npb25JbmRleD0iV3l0SXdCZ3RXVU1lM1JtbWkxMk9BeWJjSFFvIiBBdXRobkluc3RhbnQ9IjIwMTctMDctMDNUMTE6MDc6NDEuNjMzWiI+PHNhbWw6QXV0aG5Db250ZXh0PjxzYW1sOkF1dGhuQ29udGV4dENsYXNzUmVmPnVybjpvYXNpczpuYW1lczp0YzpTQU1MOjIuMDphYzpjbGFzc2VzOnVuc3BlY2lmaWVkPC9zYW1sOkF1dGhuQ29udGV4dENsYXNzUmVmPjwvc2FtbDpBdXRobkNvbnRleHQ+PC9zYW1sOkF1dGhuU3RhdGVtZW50Pjwvc2FtbDpBc3NlcnRpb24+PC9zYW1scDpSZXNwb25zZT4=
4:07:41 AM: Source:Forms.login.Page_Load, Message:Replay attack check
4:07:41 AM: Source:Forms.login.Page_Load, Message:NotBefore7/3/2017 4:02:41 AM
4:07:41 AM: Source:Forms.login.Page_Load, Message:NotOnOrAfter7/3/2017 4:12:41 AM
4:07:41 AM: Source:Forms.login.Page_Load, Message:CurrentDate7/3/2017 4:07:41 AM
4:07:41 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate present in the certificate store is : xgg5ibho
4:07:41 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate subject name to be validated is : System.Security.Cryptography.X509Certificates.X509Certificate2
4:07:41 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate present in the certificate store is : n01apw3171.tent.trt.csaa.pri
4:07:41 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate subject name to be validated is : System.Security.Cryptography.X509Certificates.X509Certificate2
4:07:41 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate present in the certificate store is : xgs35gur
4:07:41 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate subject name to be validated is : System.Security.Cryptography.X509Certificates.X509Certificate2
4:07:41 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate present in the certificate store is : dev-sso.tent.trt.csaa.pri
4:07:41 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate subject name to be validated is : System.Security.Cryptography.X509Certificates.X509Certificate2
4:07:41 AM: Source:Forms.login.Page_Load, Message:SSO UserID: gs35gur
4:07:42 AM: Source:CSAAWeb.Web.SoapHttpClientProtocol.InternalInvoke, Message:Invalid user in Payment tool - gs35gur - APDS
10:00:15 PM: Source:Forms.login.Page_Load, Message:Session Expired/Redirecting to logout Page 
10:00:19 PM: Source:Forms.login.Page_Load, Message:Request sent to SSO 
10:00:19 PM: Source:Forms.login.Page_Load, Message:The User is not Authenticated, So Session is Abandoned 
10:00:19 PM: Source:Forms.login.Page_Load, Message:Response received from SSO. 
10:00:19 PM: Source:Forms.login.Page_Load, Message:SSO Response: PHNhbWxwOlJlc3BvbnNlIFZlcnNpb249IjIuMCIgSUQ9InUuS2NjYTJRdWprZHh5VC5HYlpyRHhWUmozcSIgSXNzdWVJbnN0YW50PSIyMDE3LTA3LTA0VDA1OjAwOjE5LjI5NloiIHhtbG5zOnNhbWxwPSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6cHJvdG9jb2wiPjxzYW1sOklzc3VlciB4bWxuczpzYW1sPSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6YXNzZXJ0aW9uIj5QYXltZW50VG9vbDpTUDwvc2FtbDpJc3N1ZXI+PHNhbWxwOlN0YXR1cz48c2FtbHA6U3RhdHVzQ29kZSBWYWx1ZT0idXJuOm9hc2lzOm5hbWVzOnRjOlNBTUw6Mi4wOnN0YXR1czpTdWNjZXNzIi8+PC9zYW1scDpTdGF0dXM+PHNhbWw6QXNzZXJ0aW9uIElEPSJIaEluSWI4RVktQkZMUS1sLmYySEhLdnVwQVgiIElzc3VlSW5zdGFudD0iMjAxNy0wNy0wNFQwNTowMDoxOS4zMTJaIiBWZXJzaW9uPSIyLjAiIHhtbG5zOnNhbWw9InVybjpvYXNpczpuYW1lczp0YzpTQU1MOjIuMDphc3NlcnRpb24iPjxzYW1sOklzc3Vlcj5QYXltZW50VG9vbDpTUDwvc2FtbDpJc3N1ZXI+PGRzOlNpZ25hdHVyZSB4bWxuczpkcz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC8wOS94bWxkc2lnIyI+CjxkczpTaWduZWRJbmZvPgo8ZHM6Q2Fub25pY2FsaXphdGlvbk1ldGhvZCBBbGdvcml0aG09Imh0dHA6Ly93d3cudzMub3JnLzIwMDEvMTAveG1sLWV4Yy1jMTRuIyIvPgo8ZHM6U2lnbmF0dXJlTWV0aG9kIEFsZ29yaXRobT0iaHR0cDovL3d3dy53My5vcmcvMjAwMS8wNC94bWxkc2lnLW1vcmUjcnNhLXNoYTI1NiIvPgo8ZHM6UmVmZXJlbmNlIFVSST0iI0hoSW5JYjhFWS1CRkxRLWwuZjJISEt2dXBBWCI+CjxkczpUcmFuc2Zvcm1zPgo8ZHM6VHJhbnNmb3JtIEFsZ29yaXRobT0iaHR0cDovL3d3dy53My5vcmcvMjAwMC8wOS94bWxkc2lnI2VudmVsb3BlZC1zaWduYXR1cmUiLz4KPGRzOlRyYW5zZm9ybSBBbGdvcml0aG09Imh0dHA6Ly93d3cudzMub3JnLzIwMDEvMTAveG1sLWV4Yy1jMTRuIyIvPgo8L2RzOlRyYW5zZm9ybXM+CjxkczpEaWdlc3RNZXRob2QgQWxnb3JpdGhtPSJodHRwOi8vd3d3LnczLm9yZy8yMDAxLzA0L3htbGVuYyNzaGEyNTYiLz4KPGRzOkRpZ2VzdFZhbHVlPnpSOWhsN1F4TURGcVdCeEFnb2xpODNTWVBTSlhTRkdmaWhMejBCeTRPb1U9PC9kczpEaWdlc3RWYWx1ZT4KPC9kczpSZWZlcmVuY2U+CjwvZHM6U2lnbmVkSW5mbz4KPGRzOlNpZ25hdHVyZVZhbHVlPgpUa2lFVTg5bXRmdVQvL2tqSFZHM1I4Z3JGRElRbTh1aFlkNEdzSTNMemFjK3oyU09BSm50V0dSbFBqNjRLYjBQbVBmckxqVDFnMUszCjh1TE93RmNzdkFQeXJCa1VrQzcyeG9yM2s4ZHQzRlgzU0FKY3FHT3BpaWZka29HajdDa3FnM2ZjSGlNNGdrazM3eCtWUUd1bjBSUngKTzVVcjVpQlR4clBzNmxCZlkvekJlNEdzQlN6UExaMUM2UmN0bXR3NHR5U3NBSm1yR0FvSDlHVzRJYTZLNUYxUzlORGl1VjdsZ0RPaQpuV2ZJS2t0cXR0TjVYaDF6NlJRQ0NHNW5VcTVBVkV4Z0o4c2RaVHMxWmhtdTBYenpXM2U3R0xLWkFWSDU2U0dnTzl5c1BxcElYb3dtCjRyWGdGK3FCZU0vVGF1c2dFWnhISDZtdXFjQjA4OGUxV3J0WHlRPT0KPC9kczpTaWduYXR1cmVWYWx1ZT4KPC9kczpTaWduYXR1cmU+PHNhbWw6U3ViamVjdD48c2FtbDpOYW1lSUQgRm9ybWF0PSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoxLjE6bmFtZWlkLWZvcm1hdDp1bnNwZWNpZmllZCI+eGdzMzVndXI8L3NhbWw6TmFtZUlEPjxzYW1sOlN1YmplY3RDb25maXJtYXRpb24gTWV0aG9kPSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6Y206YmVhcmVyIj48c2FtbDpTdWJqZWN0Q29uZmlybWF0aW9uRGF0YSBSZWNpcGllbnQ9Imh0dHBzOi8vbjAxYXB3MzE3MS50ZW50LnRydC5jc2FhLnByaS9wYXltZW50dG9vbG1zY3IvZm9ybXMvbG9naW4uYXNweCIgTm90T25PckFmdGVyPSIyMDE3LTA3LTA0VDA1OjA1OjE5LjMxMloiLz48L3NhbWw6U3ViamVjdENvbmZpcm1hdGlvbj48L3NhbWw6U3ViamVjdD48c2FtbDpDb25kaXRpb25zIE5vdEJlZm9yZT0iMjAxNy0wNy0wNFQwNDo1NToxOS4zMTJaIiBOb3RPbk9yQWZ0ZXI9IjIwMTctMDctMDRUMDU6MDU6MTkuMzEyWiI+PHNhbWw6QXVkaWVuY2VSZXN0cmljdGlvbj48c2FtbDpBdWRpZW5jZT5QYXltZW50VG9vbDpTUDwvc2FtbDpBdWRpZW5jZT48L3NhbWw6QXVkaWVuY2VSZXN0cmljdGlvbj48L3NhbWw6Q29uZGl0aW9ucz48c2FtbDpBdXRoblN0YXRlbWVudCBTZXNzaW9uSW5kZXg9IkhoSW5JYjhFWS1CRkxRLWwuZjJISEt2dXBBWCIgQXV0aG5JbnN0YW50PSIyMDE3LTA3LTA0VDA1OjAwOjE5LjI5NloiPjxzYW1sOkF1dGhuQ29udGV4dD48c2FtbDpBdXRobkNvbnRleHRDbGFzc1JlZj51cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6YWM6Y2xhc3Nlczp1bnNwZWNpZmllZDwvc2FtbDpBdXRobkNvbnRleHRDbGFzc1JlZj48L3NhbWw6QXV0aG5Db250ZXh0Pjwvc2FtbDpBdXRoblN0YXRlbWVudD48L3NhbWw6QXNzZXJ0aW9uPjwvc2FtbHA6UmVzcG9uc2U+
10:00:19 PM: Source:Forms.login.Page_Load, Message:Replay attack check
10:00:19 PM: Source:Forms.login.Page_Load, Message:NotBefore7/3/2017 9:55:19 PM
10:00:19 PM: Source:Forms.login.Page_Load, Message:NotOnOrAfter7/3/2017 10:05:19 PM
10:00:19 PM: Source:Forms.login.Page_Load, Message:CurrentDate7/3/2017 10:00:19 PM
10:00:19 PM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate present in the certificate store is : xgg5ibho
10:00:19 PM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate subject name to be validated is : System.Security.Cryptography.X509Certificates.X509Certificate2
10:00:19 PM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate present in the certificate store is : n01apw3171.tent.trt.csaa.pri
10:00:19 PM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate subject name to be validated is : System.Security.Cryptography.X509Certificates.X509Certificate2
10:00:19 PM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate present in the certificate store is : xgs35gur
10:00:19 PM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate subject name to be validated is : System.Security.Cryptography.X509Certificates.X509Certificate2
10:00:19 PM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate present in the certificate store is : dev-sso.tent.trt.csaa.pri
10:00:19 PM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate subject name to be validated is : System.Security.Cryptography.X509Certificates.X509Certificate2
10:00:19 PM: Source:Forms.login.Page_Load, Message:SSO UserID: xgs35gur
10:00:19 PM: Source:Forms.login.Page_Load, Message:Successfully retrieved the Logged-in User details from DB. UserID: xgs35gur
10:02:59 PM: Source:forms_login_aspx.ProcessRequest, Message:Request sent to SSO 
10:03:09 PM: Source:forms_login_aspx.ProcessRequest, Message:The User is not Authenticated, So Session is Abandoned 
10:03:09 PM: Source:forms_login_aspx.ProcessRequest, Message:Response received from SSO. 
